ensembl_gene_id,symbol,gene_biotype,69_AM18_Cryo_MTB,70_AM18_Cryo_Media,71_AM21_MTB,72_AM21_Media,73_AM21_Cryo_MTB,74_AM21_Cryo_Media,AM18_AM_Media,AM18_AM_TB
ENSG00000185869,,protein_coding,1.9575546560540955,2.393360324974805,2.6752341433788827,2.4403437542492505,2.0755611338860054,1.9261754517403726,2.386870401804244,1.788092344917672
ENSG00000185875,,protein_coding,1.6566881766945625,-0.4760555652150504,-0.8311185226459071,-1.1273407550400703,2.0403717054237056,0.2599128489173682,1.1968539824224629,0.7352404626519369
ENSG00000185880,,protein_coding,5.257247532466738,6.373289384591717,4.7889346425436115,6.593758433667115,5.342573395467058,6.75385529396977,5.719197445973859,7.0048207591402685
ENSG00000185883,,protein_coding,6.60141084582882,6.371363222702274,6.662918820945643,6.535963196962877,6.640835299685049,6.717204499240091,6.744871540979234,6.646073340045244
ENSG00000185885,,protein_coding,-4.451836280083606,-0.08903244210580326,-2.7055876405620483,0.820191825065794,-4.29947829746092,1.2282039891900303,-3.167718449873393,1.239006880525112
ENSG00000185896,,protein_coding,9.785747155275715,10.050895033308102,9.748797341594145,9.759553372656947,9.88872417071904,9.993959719706137,9.62381076506337,9.798474542345447
ENSG00000185900,,protein_coding,4.912298374924445,4.739384095479631,5.21526141263639,4.719940351430293,4.806430211110238,4.868207853469149,3.3015163437942627,3.6262533137564508
ENSG00000185905,,protein_coding,3.7330390628246772,3.1898269308896734,3.240831319233108,-0.02780508148915586,4.147604928748733,3.252050731144398,3.029989708082457,2.1203623840264934
ENSG00000185909,,protein_coding,6.779984898573798,5.767484630987596,5.827092960105888,5.090443885180833,5.94250485223341,4.2481035466277355,6.68932946661377,5.606525092386313
ENSG00000185917,,protein_coding,4.238161691335839,2.9003203136946882,3.3460744792604444,3.716356014081254,3.3078520162886917,3.429837850359681,3.682780963884727,3.5850306510299377
ENSG00000185920,,protein_coding,-0.36437343883326695,0.8678988360023108,0.9189032243457456,0.7091605126770502,-0.8400466788236218,-2.678686606418488,0.8853928865861692,0.16100436852383912
ENSG00000185933,,protein_coding,-0.5449456844750877,-4.176495283356143,-0.8311185226459071,-3.9346956770976744,-0.05155078401733388,-4.263649107139645,-2.6822916227031515,-3.745886227084679
ENSG00000185942,,protein_coding,-4.451836280083606,-4.176495283356143,-0.3836595456746857,-3.9346956770976744,-2.714515796739763,-4.263649107139645,-5.489646544760755,-5.330848727805836
ENSG00000185946,,protein_coding,3.2276438194218398,4.028075860893061,4.044840213410721,3.800013943128164,4.139313555117342,4.309998080353678,4.093436222742178,4.210247887543688
ENSG00000185947,,protein_coding,5.78058464709247,7.771506847621528,5.83744417969319,7.503576379027156,5.5693442573140794,7.673356819376945,6.610687274365786,8.027390372620296
ENSG00000185950,,protein_coding,7.80584620062516,7.09904727273058,7.326458086368761,6.807613758986324,6.804465132430638,5.892433969149037,7.594331323740899,7.6516101523215205
ENSG00000185958,,protein_coding,0.07172567597340637,-0.7170636647188453,-2.7055876405620483,-3.9346956770976744,-1.977550202573557,-2.678686606418488,-1.7892068266196635,-3.745886227084679
ENSG00000185963,,protein_coding,7.002977068428918,7.130136078356358,7.211784438914793,6.868628241943816,7.309238556559654,7.212590799184206,6.775089256369384,6.746300787783898
ENSG00000185972,,protein_coding,-2.129908185196244,-4.176495283356143,2.4509168451179426,1.3507065417645738,1.583164751900922,1.4642713474235547,0.44109079280213076,0.16100436852383912
ENSG00000185973,,protein_coding,4.044018746803565,3.023177061480222,3.331501678173172,3.516515434734654,3.0842259950131328,3.9409220371095595,3.605750478031801,3.379957705893516
ENSG00000185989,,protein_coding,5.770958622784504,5.170018449809493,5.5184140336360565,4.734189307168573,6.207325140334727,5.371161943032074,5.802099736073184,5.502832020848906
ENSG00000186001,,protein_coding,5.813778766400851,6.316359336818605,5.314929376778465,6.188132317709992,5.5693442573140794,6.174102965183958,5.833971218530822,6.111576465525772
ENSG00000186010,,protein_coding,4.845079926795683,4.621166242497617,4.447542118337286,4.668930667888517,4.9365358944391655,5.046963674519884,4.638347776215639,4.773750025758534
ENSG00000186017,,protein_coding,2.8790805980310106,1.9732518361485396,3.3460744792604444,0.31323183634591106,3.2627641267601533,2.2120843238267534,2.863500280737327,2.470051172114469
ENSG00000186020,,protein_coding,2.8968918741474714,2.0523234071397383,1.9762363994116972,2.98416756017692,3.2627641267601533,1.9651695833562364,3.3652218384994805,3.0134471801099814
ENSG00000186026,,protein_coding,1.614252910374166,-2.5915327826349865,0.8387328756617622,-1.1273407550400703,1.1923747988687554,0.8656339098053221,1.110266297426372,0.45051098571882403
ENSG00000186047,,protein_coding,1.2205890618878892,2.393360324974805,1.0670018633348797,1.194587339847292,2.1099126386767826,0.9458042584893054,1.8232364105235999,1.2690641143812922
ENSG00000186063,,protein_coding,3.9361810052615285,4.548018569763807,4.148241711295057,5.217589165208907,4.561608608534475,4.9771422250223125,3.9260952235293347,4.7658664266827
ENSG00000186073,,protein_coding,1.614252910374166,0.8678988360023108,1.3818752006882915,2.4403437542492505,2.6430362078783207,1.9651695833562364,1.649904807638038,1.4106182585953113
ENSG00000186074,,protein_coding,6.44525284822915,6.021949758096219,6.701680123682683,6.710061915418582,6.518304824313614,6.1015797421119,6.609372446258475,6.1453911785180155
ENSG00000186088,,protein_coding,6.7023489291816905,6.878109034604529,7.083946004408312,7.3956610398602685,6.5930645191876325,7.178776086191963,7.293556345303633,7.526160297305259
ENSG00000186104,,protein_coding,4.439947423134704,3.4888406338290334,4.734589420995304,4.355323169834944,4.362299800311068,3.1026731071061713,4.553380738833792,4.490925254164732
ENSG00000186106,,protein_coding,2.581586721453844,2.718322479951801,2.88935894873173,4.001942261904896,2.9196902230012425,1.8448753496385246,2.6651715642913483,2.545668218759164
