donorID,cell,symbol,ENSEMBLID,batch,cryo.rank.pos,fresh.rank.pos,cryo.rank.neg,fresh.rank.neg,cryo.FC,fresh.FC
AM21,AM,,ENSG00000005189,same,2709,14302,11660,75,0.687905886900968,-5.135998632144145
AM18,AM,,ENSG00000005194,different,10324,7701,4056,6679,-0.32441850592177346,-0.036122968844411574
AM21,AM,,ENSG00000005194,same,6281,12508,8099,1872,0.05489592212396399,-1.1187142385367923
AM18,AM,,ENSG00000005206,different,12433,10216,1947,4164,-0.991566418253536,-0.22784724141398494
AM21,AM,,ENSG00000005206,same,12450,12005,1930,2374,-1.0109190688702046,-0.8403361919505881
AM18,AM,,ENSG00000005238,different,10986,10106,3394,4274,-0.4575405323167612,-0.21767817762087738
AM21,AM,,ENSG00000005238,same,10766,10954,3614,3426,-0.45487740501389506,-0.4951889158063594
AM18,AM,,ENSG00000005243,different,11089,10538,3290,3842,-0.47801903568941095,-0.263028847986563
AM21,AM,,ENSG00000005243,same,2301,8409,12077,5970,0.8698192388823458,-0.08024465062114355
AM18,AM,,ENSG00000005249,different,8214,4172,6166,10208,-0.03828287530653096,0.19008197094559875
AM21,AM,,ENSG00000005249,same,3026,5737,11354,8643,0.587768463584962,0.25019821757662086
AM18,AM,,ENSG00000005302,different,11408,2603,2972,11777,-0.5602929482042409,0.41515579445998174
AM21,AM,,ENSG00000005302,same,5581,7665,8799,6715,0.1336193161203596,0.012552718505600247
AM18,AM,,ENSG00000005339,different,5614,3993,8766,10387,0.2215064653114922,0.20761546453479518
AM21,AM,,ENSG00000005339,same,3543,6608,10837,7772,0.447143603557401,0.14410003042921637
AM18,AM,,ENSG00000005379,different,12517,11483,1863,2896,-1.0553043152610078,-0.38121727771226155
AM21,AM,,ENSG00000005379,same,8318,1358,6060,13022,-0.0954153429569779,1.5514052733033363
AM18,AM,,ENSG00000005381,different,4368,1092,9221,13284,0.27534099672746315,1.1022142885885526
AM21,AM,,ENSG00000005381,same,13712,319,662,14025,-2.6271358224011543,4.262745059794049
AM18,AM,,ENSG00000005436,different,10374,8183,4006,6197,-0.3342452909625151,-0.068869546422202
AM21,AM,,ENSG00000005436,same,5448,10267,8932,4113,0.14801224015539205,-0.35417555100962783
AM18,AM,,ENSG00000005448,different,12601,11346,1776,3034,-1.123208379762811,-0.3596692719793292
AM21,AM,,ENSG00000005448,same,13067,105,1177,14267,-1.5491333103998817,5.641256683047779
AM18,AM,,ENSG00000005469,different,5782,11609,8598,2771,0.20390585868451439,-0.3978876933851434
AM21,AM,,ENSG00000005469,same,10461,2996,3919,11383,-0.4043868719535655,0.5740346342350633
AM18,AM,,ENSG00000005471,different,14075,2456,263,11922,-3.812121844522876,0.448304434149905
AM21,AM,,ENSG00000005471,same,6441,3999,7165,9341,0.03582919032127485,0.3558544641855299
AM18,AM,,ENSG00000005483,different,9475,8260,4905,6120,-0.1855161793879896,-0.07280063793050573
AM21,AM,,ENSG00000005483,same,7795,11926,6585,2454,-0.031048245868086077,-0.801049386433907
AM18,AM,,ENSG00000005486,different,3480,10873,10900,3507,0.38395977504081724,-0.3002971821885172
AM21,AM,,ENSG00000005486,same,9448,7378,4932,7002,-0.2401057042203254,0.046904223296377445
AM18,AM,,ENSG00000005700,different,3537,3178,10843,11202,0.3759096015467387,0.3095596324285701
AM21,AM,,ENSG00000005700,same,2840,5524,11540,8856,0.6516046457276738,0.28136809957057984
AM18,AM,,ENSG00000005801,different,11273,10339,3107,4041,-0.5214239949259838,-0.2413690490874396
AM21,AM,,ENSG00000005801,same,5039,12590,9341,1790,0.20301610963426908,-1.1926480987193901
AM18,AM,,ENSG00000005810,different,6641,3496,7739,10884,0.11812801534847406,0.2628487490726146
AM21,AM,,ENSG00000005810,same,4551,6399,9829,7981,0.2688865172780073,0.16766020191972597
AM18,AM,,ENSG00000005812,different,8198,4491,6182,9889,-0.03690559277923544,0.1613057620295857
AM21,AM,,ENSG00000005812,same,3886,3253,10494,11127,0.3763097274934921,0.5105078848836166
AM18,AM,,ENSG00000005844,different,6737,9384,7643,4996,0.1089505115403746,-0.15555016533312838
AM21,AM,,ENSG00000005844,same,8479,8313,5901,6067,-0.1133413934324281,-0.06807410044329565
AM18,AM,,ENSG00000005882,different,13259,12576,1121,1804,-1.8363693907695529,-0.5979310320327156
AM21,AM,,ENSG00000005882,same,7459,1203,6920,13177,0.010518101792087009,1.8377234719425823
AM18,AM,,ENSG00000005884,different,11736,10970,2644,3410,-0.6495919093675235,-0.31473859916518077
AM21,AM,,ENSG00000005884,same,9774,9145,4606,5235,-0.2890534315886333,-0.18294783738984677
AM18,AM,,ENSG00000005889,different,756,464,13624,13916,2.0446401158481944,2.123428535980109
AM21,AM,,ENSG00000005889,same,911,849,13469,13531,2.3963320748532473,2.4906656124839746
AM18,AM,,ENSG00000005893,different,6848,4944,7532,9436,0.09884153520573946,0.15010249154126765
AM21,AM,,ENSG00000005893,same,6253,3802,8127,10578,0.05883829458939793,0.3915627993732489
AM18,AM,,ENSG00000005961,different,4368,12475,9221,1857,0.27534099672746315,-0.5781677772112861
AM21,AM,,ENSG00000005961,same,500,232,13822,14126,3.495260808958572,4.74817188696429
AM18,AM,,ENSG00000006007,different,9230,10929,5150,3451,-0.15290274415656668,-0.30834392667165655
AM21,AM,,ENSG00000006007,same,12029,9146,2351,5234,-0.8137638386931352,-0.18301162194617238
AM18,AM,,ENSG00000006015,different,10882,7737,3498,6643,-0.4314511985095111,-0.03836388831849735
AM21,AM,,ENSG00000006015,same,11123,10198,3257,4182,-0.5395276229134058,-0.34199405100628866
AM18,AM,,ENSG00000006016,different,2325,7936,12054,6444,0.6379110761121721,-0.05141989043542572
AM21,AM,,ENSG00000006016,same,312,14107,14043,247,4.283756703764861,-4.036462958593231
AM18,AM,,ENSG00000006025,different,14016,1848,312,12502,-3.6315495988810556,0.6442246441251616
AM21,AM,,ENSG00000006025,same,500,3999,13822,9341,3.495260808958572,0.3558544641855299
AM18,AM,,ENSG00000006062,different,10300,12730,4080,1650,-0.32119089270582935,-0.6414771687659666
AM21,AM,,ENSG00000006062,same,13498,10877,882,3503,-2.1698458360702397,-0.4802192749936012
AM18,AM,,ENSG00000006118,different,8044,4439,6336,9941,-0.02119032109441754,0.16669220076179503
AM21,AM,,ENSG00000006118,same,2941,7152,11439,7227,0.6158254381490811,0.07386190064785136
AM18,AM,,ENSG00000006125,different,6636,4889,7744,9491,0.11873794592926057,0.15457863634693503
AM21,AM,,ENSG00000006125,same,7713,7168,6667,7212,-0.02122642698362398,0.0726156349464615
AM18,AM,,ENSG00000006194,different,9454,8231,4926,6148,-0.18201927189013833,-0.07155367558030257
AM21,AM,,ENSG00000006194,same,2602,10566,11767,3813,0.7277068949589429,-0.41197209368543675
AM18,AM,,ENSG00000006282,different,7725,6506,6655,7874,0.013249837112878637,0.04084202270312787
